epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.68273,1.09511,1.49841,1.43123,0.57561,0.85,0.84735,0.63171,1.63301,1.08606,1.37893,0,0,0
2,2.54899,1.18796,1.35567,1.55025,0.58561,0.85,0.84711,0.6316,1.63557,1.09225,1.38045,1.17822e-06,1.17822e-06,1.17822e-06
3,3.36518,0.99088,1.14007,1.28756,0.58883,0.85,0.84661,0.63155,1.63836,1.09729,1.38128,2.33288e-06,2.33288e-06,2.33288e-06
4,4.11472,1.18524,1.59147,1.40893,0.58274,0.85,0.84232,0.63103,1.63757,1.08735,1.37955,3.46397e-06,3.46397e-06,3.46397e-06
5,4.88116,1.27051,1.38585,1.52435,0.60427,0.85,0.84179,0.63075,1.6399,1.09185,1.37995,4.5715e-06,4.5715e-06,4.5715e-06
6,5.64763,0.90638,1.40969,1.22768,0.60886,0.85,0.84526,0.63157,1.64454,1.09736,1.37971,5.65548e-06,5.65548e-06,5.65548e-06
7,6.42186,1.08649,1.39518,1.34437,0.61374,0.85,0.84537,0.65647,1.64801,1.10416,1.38086,6.71588e-06,6.71588e-06,6.71588e-06
8,7.17906,1.17611,1.31739,1.44838,0.61416,0.85,0.84542,0.6566,1.65029,1.10703,1.381,7.75273e-06,7.75273e-06,7.75273e-06
9,7.96432,1.0408,1.32727,1.29668,0.61433,0.85,0.84526,0.6564,1.65438,1.11727,1.38331,8.76602e-06,8.76602e-06,8.76602e-06
10,8.66289,1.1112,1.26104,1.44125,0.61436,0.85,0.84538,0.65672,1.65049,1.12403,1.38226,9.75574e-06,9.75574e-06,9.75574e-06
11,9.39594,0.78017,1.1432,1.25207,0.60811,0.85,0.84498,0.65649,1.6475,1.13081,1.3828,1.07219e-05,1.07219e-05,1.07219e-05
12,10.1665,1.08301,0.97833,1.37599,0.60853,0.85,0.84578,0.65726,1.6458,1.13671,1.38348,1.16645e-05,1.16645e-05,1.16645e-05
13,10.9452,0.97582,0.98218,1.37932,0.61008,0.85,0.84571,0.64419,1.64036,1.15507,1.38444,1.25835e-05,1.25835e-05,1.25835e-05
14,11.7116,1.04045,1.20481,1.41016,0.61266,0.85,0.84557,0.64418,1.63178,1.16379,1.38257,1.3479e-05,1.3479e-05,1.3479e-05
15,12.4944,1.01198,0.94285,1.51301,0.6131,0.85,0.84548,0.64453,1.62557,1.17219,1.38188,1.43509e-05,1.43509e-05,1.43509e-05
16,13.2441,0.70399,0.88347,1.13658,0.61389,0.85,0.84557,0.64265,1.61963,1.18162,1.38105,1.51993e-05,1.51993e-05,1.51993e-05
17,13.9939,0.95743,0.87415,1.24049,0.61589,0.85,0.84554,0.65022,1.61631,1.18906,1.38304,1.60241e-05,1.60241e-05,1.60241e-05
18,14.7435,0.70539,0.83422,1.15279,0.61589,0.85,0.84554,0.65022,1.61631,1.18906,1.38304,1.68253e-05,1.68253e-05,1.68253e-05
19,15.5265,0.76676,0.84114,1.20872,0.60965,0.85,0.80426,0.62473,1.6153,1.21292,1.39013,1.7603e-05,1.7603e-05,1.7603e-05
