epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.56462,0.72475,1.46839,0.95257,0.94584,0.90726,0.96309,0.72778,0.57964,1.70681,0.82248,0.08424,0.00024,0.00024
2,8.613,0.78596,0.90153,0.9407,0.97211,0.90551,0.97493,0.76716,0.63642,1.34787,0.88457,0.0674909,0.000490916,0.000490916
3,12.6443,0.76579,0.83284,0.95692,0.88629,0.91108,0.95739,0.7683,0.61268,0.86367,0.84807,0.0507376,0.000737625,0.000737625
4,16.527,0.73596,0.74724,0.95318,0.95202,0.90909,0.96483,0.74101,0.59952,0.70616,0.86386,0.0339801,0.000980126,0.000980126
5,20.4898,0.69446,0.7254,0.94213,0.91566,0.93506,0.96677,0.77175,0.62499,0.84085,0.86483,0.0172184,0.00121842,0.00121842
6,24.4442,0.70958,0.75272,0.96016,0.95876,0.90586,0.97477,0.79988,0.57585,0.72954,0.85467,0.00143812,0.00143812,0.00143812
7,28.3875,0.68337,0.69517,0.93894,0.9866,0.95636,0.99054,0.77852,0.62383,0.64094,0.8572,0.00142575,0.00142575,0.00142575
8,32.3687,0.71375,0.69209,0.95417,0.99533,0.94805,0.98873,0.80054,0.61335,0.60595,0.86894,0.00141338,0.00141338,0.00141338
9,36.3342,0.71946,0.67201,0.95251,1,0.94287,0.99125,0.79136,0.61391,0.67522,0.86592,0.001401,0.001401,0.001401
10,40.2487,0.66751,0.64973,0.9386,0.97389,0.969,0.99314,0.80538,0.60062,0.72656,0.85241,0.00138863,0.00138863,0.00138863
11,44.2145,0.68065,0.63046,0.92863,0.96452,0.97403,0.99195,0.80588,0.6064,0.69365,0.86093,0.00137625,0.00137625,0.00137625
12,48.2497,0.65631,0.63817,0.91677,0.97379,0.96487,0.99074,0.79126,0.68357,0.65031,0.89879,0.00136388,0.00136388,0.00136388
13,52.2102,0.64973,0.62697,0.93994,0.99529,0.96104,0.99101,0.79992,0.6491,0.61892,0.8715,0.0013515,0.0013515,0.0013515
14,56.2251,0.61901,0.58371,0.91732,0.96161,0.97602,0.99097,0.80496,0.58108,0.56847,0.85789,0.00133912,0.00133912,0.00133912
15,60.3064,0.59894,0.5735,0.89985,0.99752,0.97403,0.99256,0.82178,0.5429,0.51382,0.8345,0.00132675,0.00132675,0.00132675
16,64.3573,0.60192,0.55448,0.90334,1,0.95672,0.99292,0.82301,0.60457,0.54961,0.86645,0.00131438,0.00131438,0.00131438
17,68.4583,0.57686,0.54853,0.9062,1,0.96065,0.99275,0.8163,0.58615,0.53343,0.85124,0.001302,0.001302,0.001302
18,72.5176,0.59495,0.54818,0.90579,0.99193,0.94805,0.99153,0.80966,0.58507,0.57176,0.85679,0.00128962,0.00128962,0.00128962
19,76.5993,0.59195,0.54422,0.90324,0.98507,0.96104,0.99117,0.83467,0.54519,0.54724,0.84842,0.00127725,0.00127725,0.00127725
20,80.6643,0.58266,0.53528,0.88979,0.98678,0.96915,0.99327,0.83175,0.54,0.52509,0.85032,0.00126488,0.00126488,0.00126488
21,84.8457,0.58443,0.52424,0.88375,1,0.971,0.99357,0.81341,0.5945,0.52463,0.8523,0.0012525,0.0012525,0.0012525
22,88.9105,0.56158,0.5158,0.90367,0.9964,0.96104,0.99341,0.82561,0.51595,0.46063,0.83613,0.00124012,0.00124012,0.00124012
23,92.9592,0.52906,0.51364,0.86701,0.99931,0.96104,0.99343,0.82189,0.54374,0.46939,0.84725,0.00122775,0.00122775,0.00122775
24,96.9904,0.54642,0.4972,0.89029,0.99084,0.96104,0.99287,0.8223,0.5464,0.46769,0.84384,0.00121538,0.00121538,0.00121538
25,101.005,0.52757,0.49023,0.8681,0.98681,0.97132,0.99336,0.84909,0.50638,0.43847,0.82579,0.001203,0.001203,0.001203
26,105.103,0.5479,0.48131,0.87713,0.98694,0.98124,0.99339,0.83523,0.53092,0.43861,0.83367,0.00119063,0.00119063,0.00119063
27,109.901,0.52828,0.48211,0.86748,0.9992,0.97403,0.99311,0.82587,0.53673,0.44654,0.83358,0.00117825,0.00117825,0.00117825
28,114.249,0.54626,0.4928,0.86674,0.99495,0.97403,0.99306,0.83125,0.50696,0.43522,0.83123,0.00116588,0.00116588,0.00116588
29,118.464,0.5292,0.48206,0.8747,1,0.98539,0.99328,0.83587,0.51931,0.42567,0.83942,0.0011535,0.0011535,0.0011535
30,122.647,0.51109,0.46311,0.86534,0.98685,0.97448,0.99372,0.82115,0.52013,0.45059,0.83246,0.00114112,0.00114112,0.00114112
31,126.844,0.52589,0.47786,0.87448,0.99485,0.98701,0.99417,0.81997,0.54898,0.45336,0.84224,0.00112875,0.00112875,0.00112875
32,139.502,0.53226,0.45713,0.87452,0.99912,0.98701,0.99462,0.81735,0.59742,0.45693,0.86619,0.00111638,0.00111638,0.00111638
33,154.283,0.52087,0.45646,0.88213,0.99898,0.98701,0.99487,0.80994,0.59845,0.46695,0.87173,0.001104,0.001104,0.001104
34,169.459,0.50622,0.4433,0.8712,1,0.9849,0.99487,0.81399,0.55738,0.43712,0.8481,0.00109162,0.00109162,0.00109162
35,184.436,0.52942,0.4449,0.85853,0.99912,0.97403,0.99401,0.8176,0.5207,0.43,0.83786,0.00107925,0.00107925,0.00107925
36,199.579,0.50194,0.44722,0.86574,0.98653,0.96104,0.99265,0.81641,0.51615,0.4072,0.83508,0.00106687,0.00106687,0.00106687
37,213.889,0.50686,0.44117,0.86508,0.98666,0.96083,0.99202,0.83959,0.54422,0.42227,0.84174,0.0010545,0.0010545,0.0010545
38,228.183,0.50684,0.44766,0.86655,0.98463,0.96104,0.99167,0.83451,0.54607,0.41064,0.83969,0.00104213,0.00104213,0.00104213
39,242.627,0.47064,0.42774,0.8692,0.98568,0.96104,0.99125,0.83227,0.51559,0.42527,0.83455,0.00102975,0.00102975,0.00102975
40,257.07,0.46897,0.41982,0.85421,0.98332,0.96104,0.99225,0.81953,0.5364,0.42041,0.84061,0.00101738,0.00101738,0.00101738
41,272.079,0.46675,0.41601,0.86587,0.97396,0.97139,0.99189,0.8104,0.5208,0.38706,0.83834,0.001005,0.001005,0.001005
42,286.224,0.51197,0.43315,0.87605,0.97395,0.97131,0.9923,0.82517,0.51802,0.42966,0.83687,0.000992625,0.000992625,0.000992625
43,300.301,0.47873,0.40072,0.84254,0.98661,0.95684,0.99201,0.82631,0.51212,0.38914,0.83477,0.00098025,0.00098025,0.00098025
44,315.503,0.47923,0.419,0.84958,0.98659,0.95521,0.99236,0.82214,0.53035,0.38806,0.83345,0.000967875,0.000967875,0.000967875
45,329.955,0.46588,0.42138,0.87254,0.98661,0.95697,0.99254,0.82015,0.50884,0.39871,0.83745,0.0009555,0.0009555,0.0009555
46,344.732,0.4899,0.42534,0.86495,0.97376,0.96398,0.99238,0.83601,0.46727,0.4117,0.82909,0.000943125,0.000943125,0.000943125
47,358.725,0.45927,0.40618,0.86002,0.98437,0.97403,0.99294,0.82555,0.49543,0.41442,0.83231,0.00093075,0.00093075,0.00093075
48,373.086,0.4463,0.39624,0.84545,1,0.95649,0.99334,0.83593,0.48059,0.40748,0.82952,0.000918375,0.000918375,0.000918375
49,387.266,0.45775,0.40626,0.84094,1,0.95769,0.99292,0.83475,0.55835,0.45193,0.85241,0.000906,0.000906,0.000906
50,401.523,0.43647,0.39051,0.84932,0.98683,0.97285,0.99311,0.83694,0.57477,0.46519,0.85792,0.000893625,0.000893625,0.000893625
51,416.483,0.45923,0.4013,0.8565,0.9836,0.96104,0.99202,0.83754,0.53966,0.38049,0.83082,0.00088125,0.00088125,0.00088125
52,430.76,0.45542,0.3944,0.84488,1,0.96078,0.99249,0.85825,0.5098,0.36032,0.82536,0.000868875,0.000868875,0.000868875
53,445.247,0.43976,0.38007,0.83552,0.99706,0.97403,0.99275,0.84637,0.4986,0.3683,0.82394,0.0008565,0.0008565,0.0008565
54,459.925,0.43575,0.37614,0.83657,1,0.97362,0.99278,0.83828,0.5098,0.3731,0.82631,0.000844125,0.000844125,0.000844125
55,474.191,0.41296,0.36226,0.84411,1,0.97149,0.99306,0.82124,0.53976,0.37338,0.83769,0.00083175,0.00083175,0.00083175
56,488.614,0.43554,0.37398,0.84766,1,0.97103,0.99313,0.82167,0.49913,0.36492,0.82892,0.000819375,0.000819375,0.000819375
57,502.945,0.40309,0.3533,0.83358,1,0.98209,0.99375,0.83511,0.46849,0.34488,0.82244,0.000807,0.000807,0.000807
58,517.172,0.40763,0.35029,0.83561,0.99759,0.98701,0.99385,0.83827,0.49568,0.34794,0.8295,0.000794625,0.000794625,0.000794625
59,531.901,0.4038,0.35392,0.83485,1,0.98639,0.99375,0.83647,0.49551,0.35255,0.83352,0.00078225,0.00078225,0.00078225
60,546.142,0.40467,0.34426,0.84626,0.99609,0.97403,0.99352,0.84582,0.49569,0.35262,0.83259,0.000769875,0.000769875,0.000769875
